"only_in_2025_09_30_code","only_in_2025_09_30_name","only_in_2026_03_31_code","only_in_2026_03_31_name"
"010539105105","Sachsenwald (Forstgutsbez.), gemfr. Geb.","010575785008","Boenebuettel"
"010570008008","Boenebuettel","064150000000","Hanau, Brueder-Grimm-Stadt"
"010609014014","Buchholz (Forstgutsbez.), gemfr. Gebiet","160770043043","Schmoelln, Stadt"
"064350014014","Hanau, Brueder-Grimm-Stadt","",""
"092739452452","Frauenforst","",""
"094759451451","Forst Schwarzenbach a.Wald","",""
"094759453453","Geroldsgruener Forst","",""
"094769453453","Langenbacher Forst","",""
"160715008038","Kiliansroda","",""
"160715008042","Kleinschwabhausen","",""
"160715008055","Mechelroda","",""
"160775052003","Dobitschen","",""
"160775052043","Schmoelln, Stadt","",""
